,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,age,age_group,wealth_segment_binary,RFM_segments_predicted,RFM_score,customer_title,customer_title_description,customer_rank
207,Shane,Killen,Male,28,1956-10-16,Account Executive,Entertainment,High Net Worth,N,No,10,7 Hazelcrest Place,2165,NSW,Australia,8,212,1.136875,66,51-70,1,Silver,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
208,Roberta,Goodale,Female,9,1947-02-28,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,QLD,Australia,7,215,1.12890625,76,71-92,2,Platinum,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
209,Kippy,Barabisch,Male,11,2000-04-07,Legal Assistant,Manufacturing,Mass Customer,N,No,4,840 Graceland Street,2125,NSW,Australia,11,215,1.12890625,22,20-30,2,Gold,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
210,Rosalinde,Cubuzzi,Female,50,1997-09-04,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,5,6 Lotheville Trail,2444,NSW,Australia,7,215,1.12890625,25,20-30,2,Silver,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
211,Cami,Barnbrook,Female,8,1963-01-01,Occupational Therapist,Health,Affluent Customer,N,Yes,18,890 Truax Lane,4285,QLD,Australia,2,218,1.12625,60,51-70,0,Bronze,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
212,Dorian,Stollen,Male,78,1980-02-16,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,219,1.125,43,31-50,2,Gold,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
213,Hunfredo,Hayball,Male,7,1994-04-15,Associate Professor,IT,Affluent Customer,N,No,3,60461 Esch Avenue,2227,NSW,Australia,8,219,1.125,28,20-30,0,Silver,9,Recent Customer,"Bought recently, not very often, average money spent",4
214,Giorgi,O'Shirine,Male,68,1981-06-20,Payment Adjustment Coordinator,Retail,Mass Customer,N,Yes,15,6 Novick Alley,3934,VIC,Australia,8,219,1.125,41,31-50,2,Silver,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
215,Kort,Disley,Male,66,1979-02-05,Technical Writer,Health,Mass Customer,N,Yes,7,76 Donald Trail,2160,NSW,Australia,9,219,1.125,44,31-50,2,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
216,Gretna,Thredder,Female,62,1966-01-08,Associate Professor,Financial Services,Mass Customer,N,No,18,1607 Westridge Drive,2203,NSW,Australia,11,223,1.115625,57,51-70,2,Bronze,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
217,Tobiah,Heinsius,Male,66,2000-01-25,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,223,1.115625,23,20-30,1,Bronze,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
218,Wallace,Newart,Male,91,1977-12-06,Associate Professor,IT,Mass Customer,N,No,17,29007 Dapin Street,4650,QLD,Australia,1,223,1.115625,45,31-50,2,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
219,Hersh,Stubbert,Male,0,2000-06-25,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,68 Fairfield Street,4115,QLD,Australia,8,226,1.1125,22,20-30,2,Platinum,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
220,Wyn,Saynor,Male,54,1964-06-22,Cost Accountant,Financial Services,High Net Worth,N,No,8,5 Briar Crest Road,2099,NSW,Australia,9,226,1.1125,58,51-70,1,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
221,Maribeth,Stivani,Female,46,1954-11-13,Associate Professor,Financial Services,Mass Customer,N,No,7,945 Bobwhite Court,2430,NSW,Australia,8,226,1.1125,68,51-70,2,Platinum,9,Recent Customer,"Bought recently, not very often, average money spent",4
222,Abigale,Sives,Female,48,1963-12-13,VP Marketing,Health,Affluent Customer,N,Yes,14,2 Glendale Center,4207,QLD,Australia,4,230,1.109375,59,51-70,0,Silver,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
223,Gothart,Artus,Male,52,1978-05-31,Health Coach IV,Health,Mass Customer,N,Yes,14,21824 Northridge Alley,2117,NSW,Australia,10,231,1.105,44,31-50,2,Bronze,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
224,Danny,Bodle,Male,50,1943-09-24,Statistician I,Manufacturing,Mass Customer,N,Yes,18,68 Anthes Park,2007,NSW,Australia,9,231,1.105,79,71-92,2,Silver,9,Recent Customer,"Bought recently, not very often, average money spent",4
225,Vittorio,Boxen,Male,94,1965-08-15,Mechanical Systems Engineer,Financial Services,Mass Customer,N,No,14,3 Anthes Court,2148,NSW,Australia,9,233,1.1,57,51-70,2,Gold,12,Platinum Customer,"Most recent buy, buys often, most spent",1
226,Deborah,Petrovsky,Female,53,1943-07-14,Teacher,Property,Mass Customer,N,No,16,036 Redwing Street,2011,NSW,Australia,7,233,1.1,79,71-92,2,Silver,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
227,Agace,Hedge,Female,25,1997-07-23,Media Manager II,Financial Services,Mass Customer,N,Yes,13,92 Petterle Place,3429,VIC,Australia,8,233,1.1,25,20-30,2,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
228,Rolland,Esmead,Male,41,1940-07-13,Associate Professor,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,NSW,Australia,8,233,1.1,82,71-92,0,Bronze,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
229,Latrena,Walklate,Female,97,1943-10-05,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,87 Sheridan Junction,2281,NSW,Australia,8,237,1.094375,79,71-92,1,Gold,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
230,Mariquilla,Springthorpe,Female,30,1939-04-04,Director of Sales,Financial Services,Mass Customer,N,Yes,8,811 Melrose Park,2224,NSW,Australia,10,237,1.094375,83,71-92,2,Platinum,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
231,Leticia,Danovich,Female,84,1941-10-02,Design Engineer,Entertainment,Mass Customer,N,Yes,15,2 Logan Avenue,4307,QLD,Australia,1,237,1.094375,81,71-92,2,Platinum,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
232,Harman,Lynds,Male,4,1961-05-27,Professor,Financial Services,Mass Customer,N,Yes,5,538 Gina Way,4105,QLD,Australia,8,240,1.09,61,51-70,2,Silver,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
233,Farra,Matyushkin,Female,18,1974-01-24,VP Quality Control,Manufacturing,High Net Worth,N,Yes,9,52761 Portage Crossing,3170,VIC,Australia,9,241,1.0875,49,31-50,1,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
234,Robenia,Monks,Female,94,1959-05-08,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,Australia,9,241,1.0875,63,51-70,2,Gold,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
235,Roman,Eastwood,Male,57,1969-09-21,Associate Professor,Manufacturing,Affluent Customer,N,Yes,16,8957 Anhalt Alley,3004,VIC,Australia,4,241,1.0875,53,51-70,0,Platinum,9,Recent Customer,"Bought recently, not very often, average money spent",4
236,Solomon,Bruck,Male,29,1957-11-15,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,QLD,Australia,8,244,1.08375,65,51-70,2,Gold,12,Platinum Customer,"Most recent buy, buys often, most spent",1
237,Krystyna,Airey,Female,2,1950-09-05,Safety Technician II,Financial Services,Mass Customer,N,Yes,19,75760 Toban Junction,4006,QLD,Australia,5,244,1.08375,72,71-92,2,Gold,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
238,Katharine,Redbourn,Female,8,1967-09-11,Recruiter,Manufacturing,Affluent Customer,N,Yes,4,178 Waxwing Trail,3134,VIC,Australia,10,244,1.08375,55,51-70,0,Bronze,12,Platinum Customer,"Most recent buy, buys often, most spent",1
239,Cammy,Stoneham,Female,74,1963-05-02,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,14,8648 Green Alley,4680,QLD,Australia,3,244,1.08375,59,51-70,1,Platinum,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
240,Ellsworth,Andrieux,Male,49,1971-04-26,Senior Cost Accountant,Financial Services,Affluent Customer,N,Yes,10,08912 Carberry Place,4036,QLD,Australia,7,248,1.078125,51,51-70,0,Gold,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
241,Federico,Leuty,Male,59,1978-12-11,Product Engineer,Property,High Net Worth,N,Yes,11,720 Menomonie Crossing,2380,NSW,Australia,4,249,1.07578125,44,31-50,1,Bronze,12,Platinum Customer,"Most recent buy, buys often, most spent",1
242,Ferdy,Hornung,Male,57,1974-05-14,Analog Circuit Design manager,Entertainment,High Net Worth,N,No,18,0686 Hallows Trail,4506,QLD,Australia,3,250,1.075,48,31-50,1,Gold,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
243,Sunny,Christescu,Female,90,1975-03-12,Cost Accountant,Financial Services,Mass Customer,N,No,11,6668 Blue Bill Park Plaza,2209,NSW,Australia,10,250,1.075,48,31-50,2,Silver,12,Platinum Customer,"Most recent buy, buys often, most spent",1
244,Shadow,Yakutin,Male,85,1967-02-03,Software Test Engineer IV,Health,Affluent Customer,N,Yes,6,06 Dwight Park,4119,QLD,Australia,2,252,1.073125,56,51-70,0,Silver,9,Recent Customer,"Bought recently, not very often, average money spent",4
245,Sharai,Priddie,Female,13,1961-01-16,Sales Representative,Retail,Mass Customer,N,No,9,5202 Crowley Place,2145,NSW,Australia,9,252,1.073125,62,51-70,2,Platinum,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
246,Celeste,Fretson,Female,91,1980-09-16,Product Engineer,IT,Mass Customer,N,No,9,14709 Portage Avenue,2166,NSW,Australia,9,252,1.073125,42,31-50,2,Silver,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
247,Lea,Ilyinski,Female,75,1997-09-25,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,NSW,Australia,12,252,1.073125,25,20-30,1,Platinum,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
248,Dyann,Olechnowicz,Female,17,1939-07-17,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,0474 Bowman Hill,3031,VIC,Australia,10,252,1.073125,83,71-92,2,Silver,12,Platinum Customer,"Most recent buy, buys often, most spent",1
249,Delly,Sunman,Female,49,1959-04-11,Account Coordinator,Retail,Mass Customer,N,No,15,652 Fuller Terrace,3206,VIC,Australia,12,252,1.073125,63,51-70,2,Gold,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
250,Malvin,Ryhorovich,Male,37,1962-03-03,Quality Control Specialist,Financial Services,Mass Customer,N,No,5,5356 Sugar Plaza,4818,QLD,Australia,3,252,1.073125,61,51-70,2,Gold,9,Recent Customer,"Bought recently, not very often, average money spent",4
251,Tanya,Hamberston,Female,45,2000-09-25,Product Engineer,Financial Services,Mass Customer,N,Yes,9,7 Schiller Point,4113,QLD,Australia,6,259,1.0625,22,20-30,2,Gold,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
252,Kaela,Romaines,Female,41,1971-11-27,Geological Engineer,Manufacturing,High Net Worth,N,No,19,9193 Prairieview Drive,2155,NSW,Australia,10,259,1.0625,51,51-70,1,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
253,Evonne,Bembridge,Female,9,1969-07-06,Recruiting Manager,Retail,Mass Customer,N,Yes,14,13272 Basil Avenue,3103,VIC,Australia,9,259,1.0625,53,51-70,2,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
254,Shannen,Lewin,Female,21,1991-06-07,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,29 Aberg Crossing,4210,QLD,Australia,6,259,1.0625,31,31-50,1,Platinum,9,Recent Customer,"Bought recently, not very often, average money spent",4
255,Bogey,Attew,Male,88,1992-11-18,Software Engineer II,IT,Mass Customer,N,Yes,10,4 Monterey Road,4165,QLD,Australia,9,259,1.0625,30,20-30,2,Gold,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
256,Zondra,Ringham,Female,36,1948-01-13,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,416 Lighthouse Bay Lane,4510,QLD,Australia,5,259,1.0625,75,71-92,2,Platinum,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
257,Barnebas,Apfel,Male,57,1996-02-19,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,05475 Elgar Place,4000,QLD,Australia,6,259,1.0625,27,20-30,0,Bronze,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
258,Alleen,Eaken,Female,56,1938-08-31,Associate Professor,Financial Services,Mass Customer,N,No,10,343 Lakewood Center,2089,NSW,Australia,12,259,1.0625,84,71-92,2,Gold,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
259,Gerri,Schimann,Female,81,1969-11-17,Desktop Support Technician,Property,Mass Customer,N,Yes,18,47 Kim Terrace,2566,NSW,Australia,8,259,1.0625,53,51-70,2,Gold,12,Platinum Customer,"Most recent buy, buys often, most spent",1
260,Antonietta,Egle,Female,82,1973-09-25,Actuary,Financial Services,Mass Customer,N,No,7,590 Hagan Parkway,3805,VIC,Australia,7,259,1.0625,49,31-50,2,Bronze,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
261,Raff,Waycott,Male,70,1951-12-16,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,94694 Eagle Crest Terrace,3977,VIC,Australia,7,259,1.0625,71,71-92,0,Gold,9,Recent Customer,"Bought recently, not very often, average money spent",4
262,Lark,Gonet,Female,89,1972-01-17,Database Administrator II,Health,High Net Worth,N,No,8,261 Orin Center,2763,NSW,Australia,8,259,1.0625,51,51-70,1,Gold,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
263,Cletis,Longley,Male,84,1996-07-01,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,271,1.06,26,20-30,1,Bronze,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
264,Bartram,Di Lucia,Male,70,1961-01-03,Associate Professor,Argiculture,Mass Customer,N,Yes,5,83509 Delaware Street,2480,NSW,Australia,3,271,1.06,62,51-70,2,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
265,Theresa,Cowper,Female,99,1976-08-24,Accountant III,Manufacturing,Mass Customer,N,No,3,88 Mifflin Pass,2529,NSW,Australia,10,271,1.06,46,31-50,2,Gold,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
266,Philbert,Raraty,Male,48,1956-06-28,Executive Secretary,Manufacturing,Mass Customer,N,No,6,10 Dexter Park,2177,NSW,Australia,9,274,1.051875,66,51-70,2,Silver,9,Recent Customer,"Bought recently, not very often, average money spent",4
267,Egon,Ortells,Male,35,1976-06-11,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,3 Sundown Hill,2168,NSW,Australia,9,274,1.051875,46,31-50,0,Platinum,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
268,Dahlia,Shovlar,Female,90,1966-03-07,Environmental Specialist,Financial Services,Affluent Customer,N,Yes,7,655 Glendale Trail,3976,VIC,Australia,3,274,1.051875,57,51-70,0,Platinum,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
269,Timi,Duny,Female,70,1953-03-12,Office Assistant II,Telecommunications,High Net Worth,N,No,6,39192 Glendale Alley,2092,NSW,Australia,12,274,1.051875,70,51-70,1,Platinum,9,Recent Customer,"Bought recently, not very often, average money spent",4
270,Dominick,Asher,Male,50,1962-10-06,Research Associate,Health,Affluent Customer,N,Yes,5,7307 Lake View Crossing,3804,VIC,Australia,9,278,1.05,60,51-70,0,Bronze,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
271,Raye,Roo,Female,64,1976-03-07,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,1199 Express Plaza,3046,VIC,Australia,9,278,1.05,47,31-50,2,Gold,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
272,Becka,Hacon,Female,81,1965-07-03,General Manager,Financial Services,Affluent Customer,N,No,17,1 Namekagon Point,3791,VIC,Australia,9,278,1.05,57,51-70,0,Bronze,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
273,Cirillo,Frossell,Male,7,1968-10-14,Graphic Designer,Financial Services,Mass Customer,N,No,6,602 Meadow Vale Lane,2111,NSW,Australia,12,278,1.05,54,51-70,2,Platinum,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
274,Verla,Dumingos,Female,26,1971-09-18,Design Engineer,Telecommunications,Mass Customer,N,Yes,10,6784 Spohn Alley,3021,VIC,Australia,8,282,1.04921875,51,51-70,2,Bronze,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
275,Sherrie,Godleman,Female,37,1978-04-02,Associate Professor,Manufacturing,Mass Customer,N,No,19,67 Shelley Crossing,3350,VIC,Australia,2,282,1.04921875,44,31-50,2,Bronze,9,Recent Customer,"Bought recently, not very often, average money spent",4
276,Dexter,Shutle,Male,81,1959-01-05,Quality Control Specialist,Financial Services,Mass Customer,N,No,17,07 Dayton Court,4005,QLD,Australia,7,284,1.046875,64,51-70,2,Gold,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
277,Konstanze,Hovie,Female,88,1967-01-09,Pharmacist,Health,Mass Customer,N,No,11,351 Sunfield Lane,4370,QLD,Australia,7,285,1.04125,56,51-70,2,Bronze,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
278,Bink,Bentje,Male,3,1957-03-23,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,8427 Moulton Place,2680,NSW,Australia,3,285,1.04125,66,51-70,1,Silver,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
279,Taber,Szymon,Male,70,1947-04-22,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,984 Del Sol Junction,4659,QLD,Australia,8,287,1.04,75,71-92,0,Gold,9,Recent Customer,"Bought recently, not very often, average money spent",4
280,Debbi,Dannatt,Female,2,1958-12-28,Technical Writer,Financial Services,Affluent Customer,N,No,6,3 Pepper Wood Hill,4218,QLD,Australia,10,287,1.04,64,51-70,0,Gold,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
281,Giana,Staresmeare,Female,96,1976-04-20,Account Representative IV,Retail,Affluent Customer,N,Yes,9,8737 Scoville Center,2770,NSW,Australia,7,289,1.0375,46,31-50,0,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
282,Morton,Petkens,Male,50,1990-11-13,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,385 Montana Place,3012,VIC,Australia,1,289,1.0375,32,31-50,1,Silver,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
283,Vittoria,Whitney,Female,95,1981-06-03,Research Assistant I,Financial Services,High Net Worth,N,No,12,3 Surrey Court,2019,NSW,Australia,11,291,1.0359375,41,31-50,1,Silver,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
284,Paquito,Atwood,Male,15,1972-07-30,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,9,2 Magdeline Street,3199,VIC,Australia,8,291,1.0359375,50,31-50,0,Bronze,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
285,Dimitri,Tribbeck,Male,89,1958-12-07,Chief Design Engineer,Financial Services,Affluent Customer,N,No,20,93235 Hoard Trail,3165,VIC,Australia,6,291,1.0359375,64,51-70,0,Gold,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
286,Shelli,Bartholomaus,Female,88,1963-05-11,Associate Professor,Health,Mass Customer,N,Yes,6,356 Carberry Avenue,3082,VIC,Australia,7,291,1.0359375,59,51-70,2,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
287,Kermit,Lebond,Male,36,1980-02-01,Financial Advisor,Financial Services,Mass Customer,N,No,4,71 Ludington Center,4208,QLD,Australia,8,295,1.03125,43,31-50,2,Bronze,9,Recent Customer,"Bought recently, not very often, average money spent",4
288,Biddie,Gorce,Female,68,1988-01-30,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,2116 Continental Terrace,2795,NSW,Australia,7,295,1.03125,35,31-50,2,Gold,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
289,Rupert,Marrow,Male,73,1970-08-08,Associate Professor,Property,High Net Worth,N,No,19,2 7th Way,2760,NSW,Australia,8,297,1.030625,52,51-70,1,Platinum,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
290,Geoff,Sitford,Male,97,1965-02-27,Account Executive,Financial Services,Mass Customer,N,Yes,4,7 Elgar Road,2148,NSW,Australia,8,297,1.030625,58,51-70,2,Silver,9,Recent Customer,"Bought recently, not very often, average money spent",4
291,Ange,Chitham,Female,91,1991-02-14,Associate Professor,Argiculture,Mass Customer,N,No,10,00003 Hoffman Pass,2560,NSW,Australia,8,297,1.030625,32,31-50,2,Gold,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
292,Tiphanie,Blackader,Female,59,1947-10-08,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,71 Stone Corner Avenue,2007,NSW,Australia,11,297,1.030625,75,71-92,2,Gold,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
293,Zollie,Crinidge,Male,39,1988-01-10,Systems Administrator I,Retail,Mass Customer,N,Yes,10,0 Esker Avenue,4019,QLD,Australia,5,297,1.030625,35,31-50,2,Platinum,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
294,Daisy,Pollen,Female,97,1993-08-09,Cost Accountant,Financial Services,Mass Customer,N,No,7,61825 Debs Terrace,3167,VIC,Australia,9,302,1.03,29,20-30,2,Gold,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
295,Emelen,Bidnall,Male,79,1981-08-05,Systems Administrator IV,Health,Affluent Customer,N,Yes,11,11 Oak Terrace,2026,NSW,Australia,12,302,1.03,41,31-50,0,Gold,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
296,Linette,Boman,Female,56,1949-05-20,Account Executive,Financial Services,Affluent Customer,N,No,11,7 Michigan Hill,2076,NSW,Australia,11,304,1.025,73,71-92,0,Bronze,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
297,Manya,Abramovici,Female,42,1955-07-17,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,8 Randy Park,4214,QLD,Australia,8,304,1.025,67,51-70,1,Silver,12,Platinum Customer,"Most recent buy, buys often, most spent",1
298,Brynna,Tivers,Female,81,1974-08-09,Recruiting Manager,Financial Services,Mass Customer,N,No,6,0 Mayfield Parkway,4272,QLD,Australia,7,304,1.025,48,31-50,2,Bronze,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
299,Art,Carolan,Male,1,1954-11-09,Marketing Manager,Financial Services,Affluent Customer,N,Yes,11,57903 Hanson Parkway,2570,NSW,Australia,9,304,1.025,68,51-70,0,Bronze,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
300,Alfi,Sabbins,Female,63,1959-06-12,Associate Professor,Financial Services,High Net Worth,N,Yes,18,763 Ridgeway Place,2344,NSW,Australia,3,304,1.025,63,51-70,1,Platinum,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
301,Loleta,Aberdalgy,Female,45,1981-02-15,Occupational Therapist,Health,Mass Customer,N,No,11,99 Westend Court,2287,NSW,Australia,6,304,1.025,42,31-50,2,Gold,9,Recent Customer,"Bought recently, not very often, average money spent",4
302,Aldric,Birney,Male,21,1971-08-19,Associate Professor,Manufacturing,Mass Customer,N,Yes,14,5 Caliangt Center,2546,NSW,Australia,6,310,1.02265625,51,51-70,2,Silver,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
303,Natividad,Balducci,Female,39,1991-02-07,Associate Professor,Property,High Net Worth,N,Yes,10,4472 Washington Junction,3206,VIC,Australia,11,310,1.02265625,32,31-50,1,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
304,Claudine,Dymick,Female,28,1965-12-13,Design Engineer,Health,Mass Customer,N,No,5,31675 Corry Way,3977,VIC,Australia,5,312,1.02,57,51-70,2,Gold,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
305,Seamus,Cains,Male,61,1989-12-15,Teacher,Manufacturing,High Net Worth,N,No,7,4882 Dakota Center,2305,NSW,Australia,8,312,1.02,33,31-50,1,Bronze,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
306,Guss,Karim,Male,95,1968-11-24,Senior Sales Associate,Manufacturing,Mass Customer,N,No,7,4 Warner Circle,2227,NSW,Australia,11,312,1.02,54,51-70,2,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
307,Julietta,Setchfield,Female,73,1992-01-31,Operator,Financial Services,High Net Worth,N,Yes,3,4 Manufacturers Crossing,4170,QLD,Australia,8,312,1.02,31,31-50,1,Bronze,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
308,Roch,Symson,Female,96,1978-05-13,Office Assistant I,Manufacturing,High Net Worth,N,No,18,016 Westport Park,3073,VIC,Australia,9,312,1.02,44,31-50,1,Platinum,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
309,Audry,Fann,Female,3,1957-10-17,Pharmacist,Health,Mass Customer,N,Yes,15,19 Debs Parkway,3029,VIC,Australia,6,312,1.02,65,51-70,2,Silver,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
310,Cecelia,Cisar,Female,20,1985-03-26,Associate Professor,Property,Mass Customer,N,Yes,15,665 Sachs Way,4212,QLD,Australia,7,312,1.02,38,31-50,2,Bronze,9,Recent Customer,"Bought recently, not very often, average money spent",4
311,Clari,Voas,Female,74,1955-07-28,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,4110 Mifflin Center,2127,NSW,Australia,8,312,1.02,67,51-70,0,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
312,Zach,Hedman,Male,87,1981-09-11,Analyst Programmer,Financial Services,Affluent Customer,N,Yes,4,62 Spaight Center,2566,NSW,Australia,9,320,1.015625,41,31-50,0,Platinum,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
313,Paxon,Roomes,Male,78,1976-11-06,Information Systems Manager,Financial Services,High Net Worth,N,Yes,7,3 Express Lane,3021,VIC,Australia,7,320,1.015625,46,31-50,1,Gold,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
314,Parnell,Lamprey,Male,23,1977-04-08,Engineer III,Financial Services,High Net Worth,N,No,12,7353 Mallard Junction,2165,NSW,Australia,6,322,1.0125,45,31-50,1,Silver,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
315,Honey,Gosdin,Female,0,1981-11-29,Software Engineer I,Property,Mass Customer,N,No,17,066 Warner Trail,2582,NSW,Australia,9,322,1.0125,41,31-50,2,Bronze,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
316,Sonny,McCart,Male,35,1992-08-27,Account Representative I,Manufacturing,High Net Worth,N,No,9,52752 Barby Hill,3020,VIC,Australia,9,324,1.01,30,20-30,1,Bronze,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
